,COUNTRY,ISO3,WHO_REGION,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
215,Ukraine,UKR,EURO,27/02/2022,31668577,15774300.0,72.4,36.069,15153577.0,34.65,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",6.0
216,United Arab Emirates,ARE,EMRO,31/05/2022,24909327,9991089.0,251.854,101.018,9792266.0,99.008,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
217,United Republic of Tanzania,TZA,AFRO,05/06/2022,7967468,6483895.0,13.338,10.855,3915900.0,6.556,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",3.0
218,United States of America,USA,AMRO,03/06/2022,579958258,261785425.0,175.213,79.089,218761222.0,66.09,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
219,Uruguay,URY,AMRO,03/06/2022,8438481,2992929.0,242.923,86.159,2877976.0,82.85,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3.0
220,Uzbekistan,UZB,EURO,29/05/2022,52392744,19463364.0,156.5,58.153,15232341.0,45.512,"Anhui ZL - Zifivax,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",7.0
221,Vanuatu,VUT,WPRO,05/06/2022,242178,132941.0,78.848,43.283,118158.0,38.47,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S",3.0
222,Venezuela (Bolivarian Republic of),VEN,AMRO,03/06/2022,37860994,22157232.0,133.145,77.92,14287370.0,50.244,"Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Sinovac - CoronaVac",6.0
223,Viet Nam,VNM,WPRO,05/06/2022,221658034,84545834.0,227.719,86.857,77824176.0,79.952,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",6.0
224,Wallis and Futuna,WLF,WPRO,05/06/2022,16426,6592.0,146.061,58.616,6633.0,58.981,Moderna - Spikevax,1.0
225,Yemen,YEM,EMRO,25/05/2022,838621,672794.0,2.812,2.256,429721.0,1.441,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
226,Zambia,ZMB,AFRO,05/06/2022,3750417,4656681.0,20.4,25.33,2935333.0,15.967,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3.0
227,Zimbabwe,ZWE,AFRO,05/06/2022,10796053,6236512.0,72.637,41.96,4559541.0,30.677,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac",4.0
